crs_score,date,immigration_program,invitations_issued,round_id
742,29-09-2021,Provincial Nominee Program,761,206
732,15-09-2021,Provincial Nominee Program,521,205
462,14-09-2021,Canadian Experience Class,2000,204
764,01-09-2021,Provincial Nominee Program,635,203
403,19-08-2021,Canadian Experience Class,3000,202
751,18-08-2021,Provincial Nominee Program,463,201
404,05-08-2021,Canadian Experience Class,3000,200
760,04-08-2021,Provincial Nominee Program,512,199
357,22-07-2021,Canadian Experience Class,4500,198
734,21-07-2021,Provincial Nominee Program,462,197
369,08-07-2021,Canadian Experience Class,4500,196
760,07-07-2021,Provincial Nominee Program,627,195
357,24-06-2021,Canadian Experience Class,6000,194
742,23-06-2021,Provincial Nominee Program,1002,193
368,10-06-2021,Canadian Experience Class,6000,192
711,09-06-2021,Provincial Nominee Program,940,191
380,31-05-2021,Canadian Experience Class,5956,190
713,26-05-2021,Provincial Nominee Program,500,189
397,20-05-2021,Canadian Experience Class,1842,188
401,13-05-2021,Canadian Experience Class,4147,187
752,12-05-2021,Provincial Nominee Program,557,186
400,29-04-2021,Canadian Experience Class,6000,185
717,28-04-2021,Provincial Nominee Program,381,184
417,15-04-2021,Canadian Experience Class,6000,183
753,14-04-2021,Provincial Nominee Program,266,182
432,1-04-2021,Canadian Experience Class,5000,181
778,31-03-2021,Provincial Nominee Program,284,180
449,18-03-2021,Canadian Experience Class,5000,179
682,17-03-2021,Provincial Nominee Program,183,178
739,08-03-2021,Provincial Nominee Program,671,177
75,13-02-2021,Canadian Experience Class,27332,176
720,10-02-2021,Provincial Nominee Program,654,175
454,21-01-2021,Canadian Experience Class,4626,174
741,20-01-2021,Provincial Nominee Class,374,173
461,7-01-2021,Canadian Experience Class,4750,172
813,6-01-2021,Provincial Nominee Program,250,171
468,23-12-2020,No program specified,5000,170
469,09-12-2020,No program specified,5000,169
469,25-11-2020,No program specified,5000,168
472,18-11-2020,No program specified,5000,167
478,05-11-2020,No program specified,4500,166
471,14-10-2020,No program specified,4500,165
471,30-09-2020,No program specified,4200,164
472,16-09-2020,No program specified,4200,163
475,02-09-2020,No program specified,4200,162
454,20-08-2020,Canadian Experience Class,3300,161
771,19-08-2020,Provincial Nominee Program,600,160
415,06-08-2020,Federal Skilled Trades,250,159
476,05-08-2020,No program specified,3900,158
445,23-07-2020,Canadian Experience Class,3343,157
687,22-07-2020,Provincial Nominee Program,557,156
478,08-07-2020,No program specified,3900,155
431,25-06-2020,Canadian Experience Class,3508,154
696,24-06-2020,Provincial Nominee Program,392,153
437,11-06-2020,Canadian Experience Class,3559,152
743,10-06-2020,Provincial Nominee Program,341,151
440,28-05-2020,Canadian Experience Class,3515,150
757,27-05-2020,Provincial Nominee Program,385,149
447,14-05-2020,Canadian Experience Class,3371,148
718,13-05-2020,Provincial Nominee Program,529,147
452,30-04-2020,Canadian Experience Class,3311,146
692,29-04-2020,Provincial Nominee Program,589,145
455,16-04-2020,Canadian Experience Class,3782,144
808,15-04-2020,Provincial Nominee Program,118,143
464,09-04-2020,Canadian Experience Class,3294,142
698,09-04-2020,Provincial Nominee Program,606,141
467,23-03-2020,Canadian Experience Class,3232,140
720,18-03-2020,Provincial Nominee Program,668,139
471,04-03-2020,No program specified,3900,138
470,19-02-2020,No program specified,4500,137
472,05-02-2020,No program specified,3500,136
471,22-01-2020,No program specified,3400,135
473,08-01-2020,No program specified,3400,134
469,19-12-2019,No program specified,3200,133
472,11-12-2019,No program specified,3200,132
471,27-11-2019,No program specified,3600,131
472,13-11-2019,No program specified,3600,130
475,30-10-2019,No program specified,3900,129
357,16-10-2019,Federal Skilled Trades,500,128
464,02-10-2019,No program specified,3900,127
462,18-09-2019,No program specified,3600,126
463,04-09-2019,No program specified,3600,125
457,20-08-2019,No program specified,3600,124
466,12-08-2019,No program specified,3600,123
459,24-07-2019,No program specified,3600,122
460,10-07-2019,No program specified,3600,121
462,26-06-2019,No program specified,3350,120
465,12-06-2019,No program specified,3350,119
470,29-05-2019,No program specified,3350,118
332,15-05-2019,Federal Skilled Trades,500,117
450,01-05-2019,No program specified,3350,116
451,17-04-2019,No program specified,3350,115
451,03-04-2019,No program specified,3350,114
452,20-03-2019,No program specified,3350,113
454,06-03-2019,No program specified,3350,112
457,20-02-2019,No program specified,3350,111
438,30-01-2019,No program specified,3350,110
443,23-01-2019,No program specified,3900,109
449,09-01-2019,No program specified,3900,108
439,19-12-2018,No program specified,3900,107
445,12-12-2018,No program specified,3900,106
445,28-11-2018,No program specified,3900,105
449,14-11-2018,No program specified,3900,104
442,29-10-2018,No program specified,3900,103
440,15-10-2018,No program specified,3900,102
445,03-10-2018,No program specified,3900,101
284,24-09-2018,Federal Skilled Trades,400,100
441,19-09-2018,No program specified,3500,99
440,05-09-2018,No program specified,3900,98
440,22-08-2018,No program specified,3750,97
440,08-08-2018,No program specified,3750,96
441,25-07-2018,No program specified,3750,95
442,11-07-2018,No program specified,3750,94
442,25-06-2018,No program specified,3750,93
451,13-06-2018,No program specified,3750,92
288,30-05-2018,Federal Skilled Trades,500,91
902,30-05-2018,Provincial Nominee Program,200,91
440,23-05-2018,No program specified,3500,90
441,09-05-2018,No program specified,3500,89
441,25-04-2018,No program specified,3500,88
444,11-04-2018,No program specified,3500,87
446,26-03-2018,No program specified,3000,86
456,14-03-2018,No program specified,3000,85
442,21-02-2018,No program specified,3000,84
442,07-02-2018,No program specified,3000,83
444,24-01-2018,No program specified,2750,82
446,10-01-2018,No program specified,2750,81
446,20-12-2017,No program specified,2750,80
452,06-12-2017,No program specified,2750,79
439,15-11-2017,No program specified,2750,78
458,08-11-2017,No program specified,2000,77
241,01-11-2017,Federal Skilled Trades,505,76
673,01-11-2017,Provincial Nominee Program,290,75
436,18-10-2017,No program specified,2757,74
438,04-10-2017,No program specified,2801,73
433,20-09-2017,No program specified,2871,72
435,06-09-2017,No program specified,2772,71
434,23-08-2017,No program specified,3035,70
433,09-08-2017,No program specified,2991,69
441,02-08-2017,No program specified,3264,68
440,12-07-2017,No program specified,3202,67
449,28-06-2017,No program specified,3409,66
413,31-05-2017,No program specified,3877,65
199,26-05-2017,Federal Skilled Trades,400,64
775,26-05-2017,Provincial Nominee Program,143,63
415,17-05-2017,No program specified,3687,62
423,04-05-2017,No program specified,3796,61
415,19-04-2017,No program specified,3665,60
423,12-04-2017,No program specified,3923,59
431,05-04-2017,No program specified,3753,58
441,24-03-2017,No program specified,3749,57
434,01-03-2017,No program specified,3884,56
441,22-02-2017,No program specified,3611,55
447,08-02-2017,No program specified,3644,54
453,25-01-2017,No program specified,3508,53
459,11-01-2017,No program specified,3334,52
468,04-01-2017,No program specified,2902,51
475,22-12-2016,No program specified,2878,50
497,16-12-2016,No program specified,1936,49
786,30-11-2016,Provincial Nominee Program,559,48
470,16-11-2016,No program specified,2427,47
472,02-11-2016,No program specified,2080,46
475,19-10-2016,No program specified,1804,45
484,12-10-2016,No program specified,1518,44
483,21-09-2016,No program specified,1288,43
491,07-09-2016,No program specified,1000,42
538,24-08-2016,No program specified,750,41
490,10-08-2016,No program specified,754,40
488,27-07-2016,No program specified,755,39
482,13-07-2016,No program specified,747,38
482,29-06-2016,No program specified,773,37
488,15-06-2016,No program specified,752,36
483,01-06-2016,No program specified,762,35
484,18-05-2016,No program specified,763,34
534,06-05-2016,No program specified,799,33
468,20-04-2016,No program specified,1018,32
470,06-04-2016,No program specified,954,31
470,23-03-2016,No program specified,1014,30
473,09-03-2016,No program specified,1013,29
453,24-02-2016,No program specified,1484,28
459,10-02-2016,No program specified,1505,27
457,27-01-2016,No program specified,1468,26
453,13-01-2016,No program specified,1518,25
461,06-01-2016,No program specified,1463,24
460,18-12-2015,No program specified,1503,23
461,04-12-2015,No program specified,1451,22
472,27-11-2015,No program specified,1559,21
484,13-11-2015,No program specified,1506,20
489,23-10-2015,No program specified,1502,19
450,02-10-2015,No program specified,1530,18
450,18-09-2015,No program specified,1545,17
459,08-09-2015,No program specified,1517,16
456,21-08-2015,No program specified,1523,15
471,07-08-2015,No program specified,1402,14
451,17-07-2015,No program specified,1581,13
463,10-07-2015,No program specified,1516,12
469,26-06-2015,No program specified,1575,11
482,12-06-2015,No program specified,1501,10
755,22-05-2015,No program specified,1361,9
453,17-04-2015,No program specified,715,8
469,10-04-2015,No program specified,925,7
453,27-03-2015,No program specified,1637,6
481,20-03-2015,No program specified,1620,5
735,27-02-2015,No program specified,1187,4
808,20-02-2015,Canadian Experience Class,849,3
818,07-02-2015,No program specified,779,2
886,31-01-2015,No program specified,779,1
